index,theta_res,gamma,rmse,r2,n_points
228,0.07906100136934882,0.5041310251408353,0.03751273659856276,0.914194924033767,13
229,0.09922374408434273,0.605523209826043,0.039072429138476264,0.9058273025327755,10
230,0.37630386089345447,1.1459691240893728,0.013565628280421045,0.926032727532699,10
231,0.12186358145282337,0.7142183630381443,0.030933846025215744,0.9264047866108474,18
232,0.24262780318787702,0.9397322299701104,0.025549372664173974,0.9210094009087761,6
233,0.22265728494487058,0.24201182006711905,0.028994791993234997,0.9172076177347839,10
234,0.2571358000880743,1.0496821661137261,0.025222900099423812,0.9370160731568679,6
235,0.2160358146628167,0.3165128782254094,0.031152098335087624,0.9243215343537909,6
236,0.10796374933354438,0.05000000000000001,0.09154594177274508,0.4894877545377708,25
237,0.1981212849774156,0.05000000000008073,0.059642496307088066,0.5288612582691254,20
238,0.2645486829386194,0.06944794848147451,0.017100699898337065,0.946739501845589,14
239,0.2852153863923027,0.06611660169567249,0.02216532989334788,0.9167292577848658,11
240,0.18717965296206007,0.7180984243787198,0.016673751360338072,0.9752326104898366,56
241,0.11241280084615977,0.3637698544731177,0.03600358414213052,0.9126549793606524,57
242,0.34550760772189165,0.24755719065741905,0.019271335337199356,0.840800053319678,26
243,0.12761885778506132,0.4660026031227459,0.02525482844656393,0.9569348203991238,40
244,0.059769738885177774,0.37831772143229214,0.051701692438483125,0.8738653843416241,33
245,0.0691254924316614,0.3557875732300303,0.03847072397676807,0.9239819878985963,32
246,0.1614830254155426,0.42208736859326595,0.01735094033437213,0.9783255778208297,27
247,0.2566099960750309,0.4804591636980597,0.020780412699993072,0.941097751473904,30
248,0.03248250905995498,1.9308134178449858,0.007939340647509863,0.9976540281127197,10
249,0.33635354985331883,7.821245829448035,0.01598566872568409,0.9221127255388003,9
250,0.0008988787858924276,0.9914040661280076,0.0008202317823810701,0.9999752897834786,8
251,0.2238324923236976,6.650328448883965,0.016311116645496566,0.9729432621895283,8
256,0.2462282868034865,8.581430414762496,0.036285520101073956,0.8125681483257143,10
257,0.2746157550702764,5.162439547832532,0.027722031234463932,0.88479454053814,7
258,0.17350145954168203,2.3298380369422196,0.03056349950333785,0.932166811611702,8
259,0.10349962811353298,4.428873855928096,0.04147794212645601,0.9045489234462145,9
260,0.07887551044033116,2.6520259390318137,0.03299958623839912,0.9508592159959635,8
261,1.1975087358144691e-16,6.137023679162009,0.1332216678951891,0.6668705046521116,12
262,0.14474860678655374,8.925309299637243,0.036327546528136336,0.923755523921668,19
263,0.07093917455392727,6.119246104832582,0.05428224100818582,0.9016768109601448,20
264,0.024053630745137455,6.129942724088917,0.0930876448253091,0.8053959200832665,19
265,0.009118391998890434,5.313418752968777,0.09031322262967564,0.8268673047038445,20
266,0.3364021747482577,9.999999999999998,0.020723808043906798,0.9028781839326199,16
267,0.15961023243212075,7.195839012672023,0.02500158898801388,0.9607405682690795,18
268,0.07809956431094255,4.582194730714192,0.035299386750098936,0.9518347233648533,15
269,0.05316164591204268,3.5084359490753743,0.043976107952593484,0.931044282094583,16
270,0.03755690176357619,3.2161598379420986,0.045298349891161785,0.9346132259748817,20
271,0.038459922733024586,2.0195941157402904,0.024123099993196173,0.9726014289800547,14
272,0.02028650850297115,2.109578929378971,0.04168989390318819,0.9304805720315353,15
273,1.1996817362778808e-18,2.983771824307206,0.11077377949916209,0.7578964483991266,14
274,5.675149015473486e-22,1.574115318425586,0.04075655184097011,0.9365224092774327,15
275,0.04622652507777542,1.6742833574293265,0.011526033679368063,0.9909243418634588,13
276,0.014166351210084532,2.2651702734831733,0.02448069394936285,0.9696243160473947,11
277,0.3871911245263958,9.999999999998101,0.019076955386282603,0.7827505307807215,8
278,0.10616819593696879,5.113752700138724,0.017581171867951016,0.9828449168189906,6
279,0.10198398938137955,3.5650665503861143,0.057697062868094076,0.8465728349874708,14
280,1.4709363111002695e-13,3.9007447943885776,0.11499918989149045,0.7166834190784757,11
281,1.1975087358144691e-16,6.137023679162009,0.1332216678951891,0.6668705046521116,12
282,0.049529115337292776,1.259220975418121,0.035139954765962586,0.9239631892784612,14
283,0.3247198231756226,7.255075144706725,0.02227539289553856,0.8168358466550563,11
284,0.14148645856172198,5.965619961118628,0.044829117558209584,0.842114279205188,8
285,0.053334713360541165,1.5311136140130734,0.01611695699558237,0.9855967269061401,12
286,0.046247673268927564,1.673774190348072,0.01148741079593427,0.9909834625832956,13
287,1.1865175222458395e-19,5.531980265010142,0.101077498214847,0.798589079915602,11
288,0.0059614033697024645,2.6432678477767673,0.06539139270817147,0.8308327343811477,16
289,1.0400347527508337e-20,5.076830318742297,0.11215196652048676,0.7572013050973753,14
290,0.017093992964245856,2.7662264842015842,0.05649118059041577,0.8202349530078904,13
291,2.0532958658780903e-12,5.788560952781214,0.11365788316527252,0.7108053263173568,12
292,0.016545119154376255,3.5732237302512613,0.07601952679335866,0.7698849481116752,14
293,0.21731635135488442,1.6081448819289572,0.031419828476306214,0.8442255749764886,8
294,0.33649104756869164,0.8979122532405132,0.03143220289844701,0.7783970242324346,8
295,0.3390313320723962,0.9781254570612018,0.032149027301551746,0.7587006108951931,9
296,0.11408015599765475,2.6441967631426264,0.03326261283461123,0.9407431298062167,14
297,0.054514497295425686,0.4202147474662479,0.06287669066396467,0.8182284268106373,9
298,0.11390847134974172,3.6147882145772705,0.040266607681906603,0.9270780387739619,9
302,0.17755125976647432,0.2519052159231725,0.05104022641541665,0.7630844833305809,33
303,0.17859590538663694,0.15784458290129935,0.024395825332480577,0.8916109136742133,65
304,0.436849422102782,5.925972837456984,0.013942030353304762,0.4467662725335073,44
305,0.2817500259868423,1.194441518022879,0.014002546467148077,0.9296855535851405,56
306,0.39665575425794813,5.89312988364921,0.01412925081780895,0.8568929254601181,37
307,0.3782383327504862,9.999999999999915,0.008462208161883823,0.8678173999208441,35
308,0.40918737837031155,4.8762940723986725,0.012652129250743988,0.7228347003603082,42
309,0.21631117581335493,0.6050613657290087,0.02804722817604118,0.9114507999209213,36
310,0.25491568937682413,0.632704903868107,0.04860051752965322,0.6204041421939963,61
311,0.38419937829135203,6.181268921375813,0.013757750699940898,0.8489553354393446,33
312,0.22133271933155685,1.0010335295326935,0.03993060117851457,0.7843146077416348,59
313,0.26088439122724205,1.2466943525481136,0.0355315303585964,0.7674981578478923,72
314,0.2502330274529295,0.6645451982482574,0.04158780358365057,0.7028834933330079,79
315,0.3922993761203749,4.936757151432224,0.016944096235730486,0.7210460186653209,48
316,0.2512379223811959,0.1261098482423627,0.037357979441666384,0.7270782199943525,52
317,0.2808340255578426,0.0954435690836479,0.04222943195442589,0.610222330996988,50
318,0.36936916111859835,0.7209073332038264,0.01561097354688745,0.8336443317003258,54
319,0.17391853986581438,0.32503158431193485,0.04085835808114141,0.7964250871701972,41
320,0.25071962989786495,1.4917290083645278,0.03087964552558256,0.885274450163383,63
321,0.24241986274113522,0.22231269667353995,0.03102600063808623,0.831839600384994,54
322,0.2607166144015136,0.3743868868050564,0.03373288006143566,0.7654657790248544,48
